Language,Language_Family
Amharic,Afro-Asiatic
Egyptian Arabic,Afro-Asiatic
Hausa,Afro-Asiatic
Levantine Arabic,Afro-Asiatic
Modern Standard Arabic,Afro-Asiatic
Sudanese Arabic,Afro-Asiatic
Vietnamese,Austroasiatic
Indonesian,Austronesian
Javanese,Austronesian
Tagalog,Austronesian
Kannada,Dravidian
Tamil,Dravidian
Telugu,Dravidian
Bengali,Indo-European
Bhojpuri,Indo-European
English,Indo-European
French,Indo-European
Gujarati,Indo-European
Hindi,Indo-European
Persian,Indo-European
Italian,Indo-European
Marathi,Indo-European
Portuguese,Indo-European
Russian,Indo-European
Spanish,Indo-European
German,Indo-European
Urdu,Indo-European
Punjabi,Indo-European
Japanese,Japonic
Korean,Koreanic
Thai,Kra-Dai
Swahili,Atlantic-Congo
Mandarin,Sino-Tibetan
Wu,Sino-Tibetan
Yue,Sino-Tibetan
Turkish,Turkic
Hungarian,Uralic
Basque,Basque
Finnish,Uralic
Estonian,Uralic
Czech,Indo-European
Slovak,Indo-European
Balinese,Austronesian
